s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 6.5753922E+001, 1.9946226E+003,-5.2482034E+002, 1.2981840E+000,-3.2239920E+002,-1.2882662E-001, 4.5966681E+002, 0.0000000E+000, 1.5857847E+003, 1.6082392E+003, 3.4279294E+001, 4.3683976E-002, 0.0000000E+000, 1.3125350E+004
 6.6019493E+001, 2.0840987E+003,-5.6947594E+002, 1.2932666E+000,-3.2600010E+002,-1.2955201E-001, 4.7699821E+002, 0.0000000E+000, 1.6683299E+003, 1.6667845E+003, 3.4279294E+001, 4.3865738E-002, 0.0000000E+000, 1.3226476E+004
 6.6312309E+001, 2.0496805E+003,-6.0430922E+002, 1.2861384E+000,-3.3060663E+002,-1.2875552E-001, 4.4908142E+002, 0.0000000E+000, 1.5865694E+003, 1.5650035E+003, 3.4279294E+001, 4.4053217E-002, 0.0000000E+000, 1.3332271E+004
 6.6638611E+001, 2.0179401E+003,-5.8605388E+002, 1.2871970E+000,-3.3497232E+002,-1.2779268E-001, 4.3749212E+002, 0.0000000E+000, 1.5267357E+003, 1.5355655E+003, 3.4279294E+001, 4.4262968E-002, 0.0000000E+000, 1.3445713E+004
 6.6964920E+001, 2.1377481E+003,-6.2915163E+002, 1.2719685E+000,-3.3821166E+002,-1.2571055E-001, 4.6727698E+002, 0.0000000E+000, 1.6327635E+003, 1.6388081E+003, 3.4279294E+001, 4.4478593E-002, 0.0000000E+000, 1.3566940E+004
 6.7239014E+001, 2.1556625E+003,-6.5254796E+002, 1.2666579E+000,-3.4028296E+002,-1.2544874E-001, 4.6242979E+002, 0.0000000E+000, 1.6132267E+003, 1.6264026E+003, 3.4279294E+001, 4.4682001E-002, 0.0000000E+000, 1.3667572E+004
 6.7526161E+001, 2.0535172E+003,-6.2888754E+002, 1.2602930E+000,-3.4235549E+002,-1.2930048E-001, 4.3853068E+002, 0.0000000E+000, 1.5441795E+003, 1.5219358E+003, 3.4279294E+001, 4.4866917E-002, 0.0000000E+000, 1.3768983E+004
 6.7851791E+001, 2.1107046E+003,-6.1311983E+002, 1.2672074E+000,-3.4561483E+002,-1.2985451E-001, 4.5811314E+002, 0.0000000E+000, 1.5907813E+003, 1.6112205E+003, 3.4279294E+001, 4.5069519E-002, 0.0000000E+000, 1.3887229E+004
 6.8105637E+001, 2.1259645E+003,-6.3523803E+002, 1.2617703E+000,-3.4933688E+002,-1.2762522E-001, 4.5513938E+002, 0.0000000E+000, 1.6031800E+003, 1.5976631E+003, 3.4279294E+001, 4.5261231E-002, 0.0000000E+000, 1.3979590E+004
 6.8422943E+001, 2.1888214E+003,-6.5592229E+002, 1.2787345E+000,-3.5512753E+002,-1.2548582E-001, 4.6819621E+002, 0.0000000E+000, 1.6449792E+003, 1.6471210E+003, 3.4279294E+001, 4.5452897E-002, 0.0000000E+000, 1.4097597E+004
 6.8705963E+001, 2.1715049E+003,-6.6106575E+002, 1.2821638E+000,-3.6221114E+002,-1.2820583E-001, 4.6098544E+002, 0.0000000E+000, 1.6172336E+003, 1.6103675E+003, 3.4279294E+001, 4.5648557E-002, 0.0000000E+000, 1.4201799E+004
 6.9056908E+001, 2.1384288E+003,-6.4891572E+002, 1.2870347E+000,-3.6737994E+002,-1.3029558E-001, 4.5363753E+002, 0.0000000E+000, 1.5883872E+003, 1.5769274E+003, 3.4279294E+001, 4.5861154E-002, 0.0000000E+000, 1.4328912E+004
 6.9305962E+001, 2.0908450E+003,-6.3265992E+002, 1.2707817E+000,-3.6675625E+002,-1.3064478E-001, 4.4573389E+002, 0.0000000E+000, 1.5443066E+003, 1.5383029E+003, 3.4279294E+001, 4.6059841E-002, 0.0000000E+000, 1.4417544E+004
 6.9617279E+001, 2.0870187E+003,-6.1704520E+002, 1.2387695E+000,-3.6048624E+002,-1.3353872E-001, 4.4498982E+002, 0.0000000E+000, 1.5476837E+003, 1.5555823E+003, 3.4279294E+001, 4.6249511E-002, 0.0000000E+000, 1.4527871E+004
 6.9937019E+001, 2.1669194E+003,-6.2106769E+002, 1.2442223E+000,-3.5840012E+002,-1.3512854E-001, 4.6939445E+002, 0.0000000E+000, 1.6280019E+003, 1.6579552E+003, 3.4279294E+001, 4.6457166E-002, 0.0000000E+000, 1.4646409E+004
 7.0228172E+001, 2.2272799E+003,-6.4356052E+002, 1.2592652E+000,-3.6168179E+002,-1.3635332E-001, 4.9116394E+002, 0.0000000E+000, 1.7227478E+003, 1.7143244E+003, 3.4279294E+001, 4.6658798E-002, 0.0000000E+000, 1.4760669E+004
 7.0519325E+001, 2.1802071E+003,-6.3468503E+002, 1.2546503E+000,-3.6570192E+002,-1.3582012E-001, 4.7572288E+002, 0.0000000E+000, 1.6671251E+003, 1.6566619E+003, 3.4279294E+001, 4.6854458E-002, 0.0000000E+000, 1.4871572E+004
 7.0827950E+001, 2.1588218E+003,-6.3991153E+002, 1.2561077E+000,-3.7021124E+002,-1.3475369E-001, 4.6260050E+002, 0.0000000E+000, 1.6093003E+003, 1.6124209E+003, 3.4279294E+001, 4.7054525E-002, 0.0000000E+000, 1.4985370E+004
 7.1148216E+001, 2.1301787E+003,-6.2479434E+002, 1.2559539E+000,-3.7538519E+002,-1.3348782E-001, 4.5489749E+002, 0.0000000E+000, 1.5889350E+003, 1.5860191E+003, 3.4279294E+001, 4.7263746E-002, 0.0000000E+000, 1.5101768E+004
 7.1404434E+001, 2.1155000E+003,-6.4105186E+002, 1.2526956E+000,-3.8026480E+002,-1.3612482E-001, 4.3976606E+002, 0.0000000E+000, 1.5431511E+003, 1.5350660E+003, 3.4279294E+001, 4.7454913E-002, 0.0000000E+000, 1.5192000E+004
 7.1724701E+001, 2.1516103E+003,-6.5939371E+002, 1.2436263E+000,-3.8609488E+002,-1.3822163E-001, 4.3944610E+002, 0.0000000E+000, 1.5408940E+003, 1.5466732E+003, 3.4279294E+001, 4.7649075E-002, 0.0000000E+000, 1.5304095E+004
 7.2044968E+001, 2.2446275E+003,-6.9346304E+002, 1.2350451E+000,-3.9444100E+002,-1.3942600E-001, 4.5720411E+002, 0.0000000E+000, 1.6076738E+003, 1.6150231E+003, 3.4279294E+001, 4.7860707E-002, 0.0000000E+000, 1.5420456E+004
 7.2316010E+001, 2.2790893E+003,-7.0513951E+002, 1.2394451E+000,-4.0254336E+002,-1.3850709E-001, 4.6959571E+002, 0.0000000E+000, 1.6470710E+003, 1.6421031E+003, 3.4279294E+001, 4.8054370E-002, 0.0000000E+000, 1.5521985E+004
 7.2646675E+001, 2.1729294E+003,-6.5503715E+002, 1.2319169E+000,-4.0820915E+002,-1.3701048E-001, 4.4589286E+002, 0.0000000E+000, 1.5599099E+003, 1.5566708E+003, 3.4279294E+001, 4.8255855E-002, 0.0000000E+000, 1.5639657E+004
 7.2944817E+001, 2.2414551E+003,-6.8966634E+002, 1.2447876E+000,-4.1305130E+002,-1.3754189E-001, 4.5434301E+002, 0.0000000E+000, 1.5899150E+003, 1.5941877E+003, 3.4279294E+001, 4.8465654E-002, 0.0000000E+000, 1.5747356E+004
 7.3242958E+001, 2.3092248E+003,-7.3037327E+002, 1.2455254E+000,-4.1511504E+002,-1.3936874E-001, 4.6786644E+002, 0.0000000E+000, 1.6312877E+003, 1.6327091E+003, 3.4279294E+001, 4.8665306E-002, 0.0000000E+000, 1.5858434E+004
 7.3541100E+001, 2.2306473E+003,-6.8381714E+002, 1.2257549E+000,-4.1500320E+002,-1.4162892E-001, 4.5466056E+002, 0.0000000E+000, 1.5792997E+003, 1.5875716E+003, 3.4279294E+001, 4.8864959E-002, 0.0000000E+000, 1.5966409E+004
 7.3839241E+001, 2.3552175E+003,-7.0581468E+002, 1.2219828E+000,-4.1424176E+002,-1.4188332E-001, 4.9085635E+002, 0.0000000E+000, 1.7067581E+003, 1.7270976E+003, 3.4279294E+001, 4.9064612E-002, 0.0000000E+000, 1.6082330E+004
 7.4137383E+001, 2.3133155E+003,-6.9020965E+002, 1.2049291E+000,-4.1369094E+002,-1.4040358E-001, 4.8513085E+002, 0.0000000E+000, 1.6971021E+003, 1.6956103E+003, 3.4279294E+001, 4.9262268E-002, 0.0000000E+000, 1.6197727E+004
 7.4465340E+001, 2.2581965E+003,-6.4303002E+002, 1.2066099E+000,-4.1601530E+002,-1.3825259E-001, 4.8340615E+002, 0.0000000E+000, 1.6900011E+003, 1.6836256E+003, 3.4279294E+001, 4.9469906E-002, 0.0000000E+000, 1.6324387E+004
 7.4727707E+001, 2.2775926E+003,-6.4875213E+002, 1.2292424E+000,-4.2186602E+002,-1.4224268E-001, 4.8535866E+002, 0.0000000E+000, 1.6942971E+003, 1.6934202E+003, 3.4279294E+001, 4.9666065E-002, 0.0000000E+000, 1.6425992E+004
 7.5031670E+001, 2.2728843E+003,-7.0018590E+002, 1.2326246E+000,-4.2658957E+002,-1.4497824E-001, 4.6335461E+002, 0.0000000E+000, 1.6248594E+003, 1.6105511E+003, 3.4279294E+001, 4.9848459E-002, 0.0000000E+000, 1.6538932E+004
 7.5319649E+001, 2.2842754E+003,-7.2283181E+002, 1.2365846E+000,-4.2907487E+002,-1.4475725E-001, 4.5349178E+002, 0.0000000E+000, 1.5950865E+003, 1.5869523E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.6643466E+004
 7.5607620E+001, 2.3290772E+003,-7.3168616E+002, 1.2573521E+000,-4.3064133E+002,-1.4754944E-001, 4.6269091E+002, 0.0000000E+000, 1.6093248E+003, 1.6305504E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.6748921E+004
 7.5912880E+001, 2.2756848E+003,-7.1356162E+002, 1.2284416E+000,-4.3543598E+002,-1.4573471E-001, 4.5048240E+002, 0.0000000E+000, 1.5879276E+003, 1.5782523E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.6859061E+004
 7.6229652E+001, 2.3543702E+003,-7.2910424E+002, 1.2205319E+000,-4.4472914E+002,-1.4127261E-001, 4.6508632E+002, 0.0000000E+000, 1.6322447E+003, 1.6467024E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.6975854E+004
 7.6546425E+001, 2.3346714E+003,-7.6865706E+002, 1.2258670E+000,-4.5549265E+002,-1.4460684E-001, 4.4554948E+002, 0.0000000E+000, 1.5758351E+003, 1.5571524E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.7089199E+004
 7.6863197E+001, 2.2410180E+003,-7.3294133E+002, 1.2368403E+000,-4.6269540E+002,-1.4417133E-001, 4.2184546E+002, 0.0000000E+000, 1.4842642E+003, 1.4683194E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.7196407E+004
 7.7116615E+001, 2.1821278E+003,-7.0632230E+002, 1.2510075E+000,-4.6468146E+002,-1.4612697E-001, 4.0634629E+002, 0.0000000E+000, 1.4120364E+003, 1.4185752E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.7278293E+004
 7.7452400E+001, 2.2027474E+003,-6.9777515E+002, 1.2374073E+000,-4.6523124E+002,-1.4235900E-001, 4.1552250E+002, 0.0000000E+000, 1.4477307E+003, 1.4563586E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.7389323E+004
 7.7731155E+001, 2.4638401E+003,-7.7117419E+002, 1.2120032E+000,-4.6666433E+002,-1.3728487E-001, 4.7175687E+002, 0.0000000E+000, 1.6188882E+003, 1.6988332E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.7491163E+004
 7.8009918E+001, 2.6132155E+003,-9.1554665E+002, 1.2215633E+000,-4.6909638E+002,-1.4031385E-001, 4.9873348E+002, 0.0000000E+000, 1.7680478E+003, 1.7283872E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.7602822E+004
 7.8335472E+001, 2.5241566E+003,-7.9276521E+002, 1.2379585E+000,-4.6871259E+002,-1.4473713E-001, 5.1356464E+002, 0.0000000E+000, 1.7732180E+003, 1.7773366E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.7735747E+004
 7.8645767E+001, 2.4136594E+003,-6.8757280E+002, 1.2143246E+000,-4.6597908E+002,-1.4468227E-001, 5.1119902E+002, 0.0000000E+000, 1.7744505E+003, 1.7723762E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.7862484E+004
 7.8956062E+001, 2.4175213E+003,-7.1426413E+002, 1.2092490E+000,-4.6418721E+002,-1.4182319E-001, 4.9564028E+002, 0.0000000E+000, 1.7395184E+003, 1.7357777E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.7985511E+004
 7.9204300E+001, 2.4098236E+003,-7.6846267E+002, 1.2256417E+000,-4.6433917E+002,-1.4503687E-001, 4.7235766E+002, 0.0000000E+000, 1.6700080E+003, 1.6504601E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.8079663E+004
 7.9514595E+001, 2.2631064E+003,-7.1358682E+002, 1.2608762E+000,-4.6630479E+002,-1.4696816E-001, 4.4070983E+002, 0.0000000E+000, 1.5480829E+003, 1.5250386E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.8189726E+004
 7.9824890E+001, 2.1883001E+003,-7.0969211E+002, 1.2743198E+000,-4.7009748E+002,-1.4742615E-001, 4.0401177E+002, 0.0000000E+000, 1.4180202E+003, 1.4136492E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.8290039E+004
 8.0135185E+001, 2.3123337E+003,-7.5058708E+002, 1.2777067E+000,-4.7534613E+002,-1.4796062E-001, 4.2681138E+002, 0.0000000E+000, 1.4776715E+003, 1.5143416E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.8394167E+004
 8.0445480E+001, 2.3328841E+003,-7.7447002E+002, 1.2409389E+000,-4.8380107E+002,-1.4661022E-001, 4.3337948E+002, 0.0000000E+000, 1.5413282E+003, 1.5090868E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.8502721E+004
 8.0741684E+001, 2.2112643E+003,-7.2316290E+002, 1.2424765E+000,-4.9224178E+002,-1.3982873E-001, 4.0098059E+002, 0.0000000E+000, 1.4085444E+003, 1.3979428E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.8597844E+004
 8.1027763E+001, 2.1703582E+003,-7.0571986E+002, 1.2605186E+000,-4.9929977E+002,-1.3933154E-001, 3.8988107E+002, 0.0000000E+000, 1.3482781E+003, 1.3563409E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.8686486E+004
 8.1330338E+001, 2.2266875E+003,-7.2672184E+002, 1.2570691E+000,-5.0226510E+002,-1.4224453E-001, 4.0161444E+002, 0.0000000E+000, 1.3924679E+003, 1.4004298E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.8783062E+004
 8.1632919E+001, 2.3844491E+003,-7.9677627E+002, 1.2396064E+000,-5.0395037E+002,-1.3873130E-001, 4.2813907E+002, 0.0000000E+000, 1.4842561E+003, 1.5129624E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.8885172E+004
 8.1935501E+001, 2.5247607E+003,-8.3128941E+002, 1.2363716E+000,-5.0607282E+002,-1.4201397E-001, 4.7305583E+002, 0.0000000E+000, 1.6586842E+003, 1.6615486E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.8998896E+004
 8.2238075E+001, 2.3928282E+003,-8.1357242E+002, 1.2547085E+000,-5.0663466E+002,-1.4274331E-001, 4.3962866E+002, 0.0000000E+000, 1.5441085E+003, 1.5133618E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.9105968E+004
 8.2540657E+001, 2.3705087E+003,-7.4240201E+002, 1.2557934E+000,-5.0505412E+002,-1.4061510E-001, 4.5381892E+002, 0.0000000E+000, 1.5665800E+003, 1.5779866E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.9214893E+004
 8.2843239E+001, 2.3351240E+003,-7.1074040E+002, 1.2497025E+000,-5.0406425E+002,-1.4354102E-001, 4.5137278E+002, 0.0000000E+000, 1.5653661E+003, 1.5727983E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.9323600E+004
 8.3145813E+001, 2.3437690E+003,-7.6746889E+002, 1.2578522E+000,-5.0301422E+002,-1.4542873E-001, 4.3584023E+002, 0.0000000E+000, 1.5313950E+003, 1.5102385E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.9429706E+004
 8.3448395E+001, 2.2951819E+003,-7.7417611E+002, 1.2648724E+000,-5.0114219E+002,-1.4591017E-001, 4.1284365E+002, 0.0000000E+000, 1.4393942E+003, 1.4338262E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.9529533E+004
 8.3750977E+001, 2.2707061E+003,-7.2566834E+002, 1.2642211E+000,-5.0123795E+002,-1.4598945E-001, 4.1834979E+002, 0.0000000E+000, 1.4509924E+003, 1.4632678E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.9630077E+004
 8.4053551E+001, 2.2730390E+003,-6.9726134E+002, 1.2587782E+000,-5.0469396E+002,-1.4495690E-001, 4.3012396E+002, 0.0000000E+000, 1.4967491E+003, 1.5023214E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.9733714E+004
 8.4356133E+001, 2.3155486E+003,-7.4428529E+002, 1.2584846E+000,-5.1154698E+002,-1.4504829E-001, 4.2612557E+002, 0.0000000E+000, 1.4981607E+003, 1.4869553E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.9836941E+004
 8.4658707E+001, 2.2457297E+003,-7.6298804E+002, 1.2658061E+000,-5.1840901E+002,-1.4428448E-001, 3.8947284E+002, 0.0000000E+000, 1.3704430E+003, 1.3549270E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 1.9931597E+004
 8.4906822E+001, 2.2387486E+003,-7.8033764E+002, 1.2757003E+000,-5.2259736E+002,-1.4295475E-001, 3.7654334E+002, 0.0000000E+000, 1.3198767E+003, 1.3134897E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0006254E+004
 8.5239662E+001, 2.2846610E+003,-8.0249896E+002, 1.2727271E+000,-5.2577987E+002,-1.4395434E-001, 3.8440891E+002, 0.0000000E+000, 1.3366347E+003, 1.3419199E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0107924E+004
 8.5505928E+001, 2.2798013E+003,-7.8753328E+002, 1.2566691E+000,-5.2944581E+002,-1.4377563E-001, 3.8455947E+002, 0.0000000E+000, 1.3406213E+003, 1.3484945E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0189273E+004
 8.5838768E+001, 2.2692741E+003,-7.7755446E+002, 1.2436141E+000,-5.3409342E+002,-1.4224240E-001, 3.8436292E+002, 0.0000000E+000, 1.3489265E+003, 1.3430905E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0291470E+004
 8.6105034E+001, 2.3303264E+003,-8.1936216E+002, 1.2279822E+000,-5.3745825E+002,-1.3805975E-001, 3.8755329E+002, 0.0000000E+000, 1.3585825E+003, 1.3621492E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0373672E+004
 8.6437874E+001, 2.4100212E+003,-8.3520795E+002, 1.2410022E+000,-5.4051602E+002,-1.3833772E-001, 4.0934768E+002, 0.0000000E+000, 1.4197121E+003, 1.4447475E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0481133E+004
 8.6704147E+001, 2.4415044E+003,-8.3182121E+002, 1.2613704E+000,-5.4161026E+002,-1.4243138E-001, 4.3086107E+002, 0.0000000E+000, 1.5072869E+003, 1.5000529E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0572813E+004
 8.7036980E+001, 2.3096235E+003,-7.9455455E+002, 1.2644714E+000,-5.4106231E+002,-1.4558210E-001, 3.9870803E+002, 0.0000000E+000, 1.3999078E+003, 1.3738335E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0679724E+004
 8.7303253E+001, 2.2466795E+003,-7.3673118E+002, 1.2719087E+000,-5.4025269E+002,-1.4507224E-001, 3.9163121E+002, 0.0000000E+000, 1.3467855E+003, 1.3624536E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0762259E+004
 8.7636086E+001, 2.2740483E+003,-7.1746306E+002, 1.2676381E+000,-5.3988795E+002,-1.4578957E-001, 4.0992993E+002, 0.0000000E+000, 1.4139708E+003, 1.4277490E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0870514E+004
 8.7902359E+001, 2.3482457E+003,-7.5557708E+002, 1.2555239E+000,-5.4100818E+002,-1.4634317E-001, 4.2359554E+002, 0.0000000E+000, 1.4805454E+003, 1.4763652E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.0960699E+004
 8.8235191E+001, 2.3174269E+003,-7.8707417E+002, 1.2514564E+000,-5.4507497E+002,-1.4734562E-001, 3.9767670E+002, 0.0000000E+000, 1.3966956E+003, 1.3840586E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1066975E+004
 8.8501465E+001, 2.2275817E+003,-7.8089740E+002, 1.2688407E+000,-5.5076443E+002,-1.4304048E-001, 3.6320892E+002, 0.0000000E+000, 1.2907131E+003, 1.2602546E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1145231E+004
 8.8853226E+001, 2.1637450E+003,-7.7577858E+002, 1.2747771E+000,-5.5788038E+002,-1.4303319E-001, 3.2863887E+002, 0.0000000E+000, 1.1512564E+003, 1.1598566E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1237027E+004
 8.9115311E+001, 2.2910887E+003,-8.2610007E+002, 1.2712875E+000,-5.6397854E+002,-1.4282306E-001, 3.5801943E+002, 0.0000000E+000, 1.2486514E+003, 1.2601580E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1311267E+004
 8.9423119E+001, 2.3678512E+003,-8.5354027E+002, 1.2535792E+000,-5.6713449E+002,-1.4247118E-001, 3.7802046E+002, 0.0000000E+000, 1.3217750E+003, 1.3263080E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1403951E+004
 8.9717735E+001, 2.3476814E+003,-8.4626082E+002, 1.2523382E+000,-5.7052636E+002,-1.4124680E-001, 3.7065965E+002, 0.0000000E+000, 1.3002705E+003, 1.3026650E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1490991E+004
 9.0048882E+001, 2.2867492E+003,-8.1643246E+002, 1.2774384E+000,-5.7413732E+002,-1.4391349E-001, 3.6227838E+002, 0.0000000E+000, 1.2783315E+003, 1.2595913E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1587219E+004
 9.0326233E+001, 2.2778535E+003,-7.7781508E+002, 1.2715734E+000,-5.7329905E+002,-1.4389708E-001, 3.7159899E+002, 0.0000000E+000, 1.2694407E+003, 1.2994660E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1668176E+004
 9.0643532E+001, 2.3116906E+003,-7.8745951E+002, 1.2502265E+000,-5.7166789E+002,-1.4493476E-001, 3.8642893E+002, 0.0000000E+000, 1.3465279E+003, 1.3400974E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1766230E+004
 9.0960831E+001, 2.2605986E+003,-7.7576881E+002, 1.2629973E+000,-5.7144729E+002,-1.4561719E-001, 3.7160145E+002, 0.0000000E+000, 1.2960425E+003, 1.2861013E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1860652E+004
 9.1214676E+001, 2.2635021E+003,-7.8430935E+002, 1.2730200E+000,-5.7181011E+002,-1.4532600E-001, 3.6665720E+002, 0.0000000E+000, 1.2723171E+003, 1.2751675E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.1934727E+004
 9.1531975E+001, 2.3199154E+003,-8.1503333E+002, 1.2668358E+000,-5.7152619E+002,-1.4452136E-001, 3.7387726E+002, 0.0000000E+000, 1.3028045E+003, 1.3083555E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2029082E+004
 9.1849274E+001, 2.2991096E+003,-8.1731020E+002, 1.2443350E+000,-5.7098291E+002,-1.4193986E-001, 3.6611569E+002, 0.0000000E+000, 1.2942878E+003, 1.2780346E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2122600E+004
 9.2103111E+001, 2.2675302E+003,-8.2072713E+002, 1.2634961E+000,-5.7209358E+002,-1.4300356E-001, 3.4864502E+002, 0.0000000E+000, 1.2225013E+003, 1.2244750E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2193193E+004
 9.2420410E+001, 2.2818953E+003,-8.3693309E+002, 1.2865791E+000,-5.7582555E+002,-1.4385299E-001, 3.4765839E+002, 0.0000000E+000, 1.2172243E+003, 1.2179378E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2281055E+004
 9.2737709E+001, 2.2797013E+003,-8.2638940E+002, 1.2864946E+000,-5.8354736E+002,-1.4048871E-001, 3.4780109E+002, 0.0000000E+000, 1.2167746E+003, 1.2187116E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2368854E+004
 9.3055008E+001, 2.2989151E+003,-8.1752900E+002, 1.2762842E+000,-5.9306278E+002,-1.3930424E-001, 3.5480911E+002, 0.0000000E+000, 1.2472069E+003, 1.2442694E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2458498E+004
 9.3308846E+001, 2.3350396E+003,-8.6123646E+002, 1.2725676E+000,-5.9848434E+002,-1.4077732E-001, 3.5176843E+002, 0.0000000E+000, 1.2245079E+003, 1.2282190E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2529533E+004
 9.3650688E+001, 2.3579218E+003,-8.6639164E+002, 1.2780451E+000,-5.9929889E+002,-1.4248663E-001, 3.5778226E+002, 0.0000000E+000, 1.2462695E+003, 1.2511491E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2626858E+004
 9.3952644E+001, 2.3715471E+003,-8.4581788E+002, 1.2698131E+000,-6.0122415E+002,-1.4300380E-001, 3.6974830E+002, 0.0000000E+000, 1.2911491E+003, 1.2953802E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2715715E+004
 9.4203323E+001, 2.3907061E+003,-8.6914123E+002, 1.2512374E+000,-6.0537975E+002,-1.4097934E-001, 3.6529675E+002, 0.0000000E+000, 1.2895319E+003, 1.2825921E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2788982E+004
 9.4516670E+001, 2.3782523E+003,-8.8169750E+002, 1.2667445E+000,-6.0832710E+002,-1.4063094E-001, 3.5942528E+002, 0.0000000E+000, 1.2627279E+003, 1.2487791E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2879105E+004
 9.4830025E+001, 2.2896393E+003,-8.1393101E+002, 1.2807877E+000,-6.0660936E+002,-1.4213472E-001, 3.5543456E+002, 0.0000000E+000, 1.2228220E+003, 1.2256721E+003, 3.4279294E+001, 4.9913135E-002, 0.0000000E+000, 2.2967919E+004
