s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 5.5509190E+001, 1.5846409E+003,-4.2855338E+002, 1.3199861E+000,-2.5019279E+002,-1.0967161E-001, 3.6623628E+002, 0.0000000E+000, 1.2673732E+003, 1.2733413E+003, 3.4279294E+001, 3.6877747E-002, 0.0000000E+000, 9.6753577E+003
 5.5814980E+001, 1.6074488E+003,-4.1866388E+002, 1.3072211E+000,-2.5152165E+002,-1.0826677E-001, 3.7855520E+002, 0.0000000E+000, 1.3074728E+003, 1.3170174E+003, 3.4279294E+001, 3.7065494E-002, 0.0000000E+000, 9.7671866E+003
 5.6120770E+001, 1.6694527E+003,-4.3340876E+002, 1.3011221E+000,-2.5068176E+002,-1.0747721E-001, 3.9777649E+002, 0.0000000E+000, 1.3774182E+003, 1.3843323E+003, 3.4279294E+001, 3.7265146E-002, 0.0000000E+000, 9.8639126E+003
 5.6432674E+001, 1.7116997E+003,-4.5521919E+002, 1.3002369E+000,-2.4832441E+002,-1.0923981E-001, 4.0581081E+002, 0.0000000E+000, 1.4053350E+003, 1.4151579E+003, 3.4279294E+001, 3.7474390E-002, 0.0000000E+000, 9.9644477E+003
 5.6701767E+001, 1.7842471E+003,-4.8471583E+002, 1.3002699E+000,-2.4619937E+002,-1.1077464E-001, 4.2329983E+002, 0.0000000E+000, 1.4663924E+003, 1.4778212E+003, 3.4279294E+001, 3.7669443E-002, 0.0000000E+000, 1.0054926E+004
 5.7038136E+001, 1.8015375E+003,-5.2083220E+002, 1.2926324E+000,-2.4384288E+002,-1.1042990E-001, 4.1745579E+002, 0.0000000E+000, 1.4630710E+003, 1.4555004E+003, 3.4279294E+001, 3.7872090E-002, 0.0000000E+000, 1.0167318E+004
 5.7307232E+001, 1.7904740E+003,-5.1303662E+002, 1.2541962E+000,-2.4290716E+002,-1.0529083E-001, 4.1034503E+002, 0.0000000E+000, 1.4366382E+003, 1.4460241E+003, 3.4279294E+001, 3.8071244E-002, 0.0000000E+000, 1.0255075E+004
 5.7643600E+001, 1.9207744E+003,-5.5342283E+002, 1.3236269E+000,-2.4389186E+002,-1.0929254E-001, 4.4461605E+002, 0.0000000E+000, 1.5521746E+003, 1.5692901E+003, 3.4279294E+001, 3.8271395E-002, 0.0000000E+000, 1.0373492E+004
 5.7912693E+001, 1.9000681E+003,-5.3706738E+002, 1.2933900E+000,-2.4490468E+002,-1.1279434E-001, 4.4724428E+002, 0.0000000E+000, 1.5630988E+003, 1.5665209E+003, 3.4279294E+001, 3.8473044E-002, 0.0000000E+000, 1.0469312E+004
 5.8249062E+001, 1.8498748E+003,-5.0178804E+002, 1.2933377E+000,-2.4630919E+002,-1.1439210E-001, 4.4387564E+002, 0.0000000E+000, 1.5510243E+003, 1.5468321E+003, 3.4279294E+001, 3.8674693E-002, 0.0000000E+000, 1.0588637E+004
 5.8518154E+001, 1.8279833E+003,-4.9393411E+002, 1.3035084E+000,-2.4898674E+002,-1.1591684E-001, 4.3660745E+002, 0.0000000E+000, 1.5265634E+003, 1.5228575E+003, 3.4279294E+001, 3.8877341E-002, 0.0000000E+000, 1.0682450E+004
 5.8854523E+001, 1.7894832E+003,-4.7364534E+002, 1.3114959E+000,-2.5466150E+002,-1.1487377E-001, 4.2873994E+002, 0.0000000E+000, 1.5021070E+003, 1.4911129E+003, 3.4279294E+001, 3.9079988E-002, 0.0000000E+000, 1.0797892E+004
 5.9123619E+001, 1.7244290E+003,-4.4898147E+002, 1.3098216E+000,-2.6172269E+002,-1.1284586E-001, 4.1026854E+002, 0.0000000E+000, 1.4354499E+003, 1.4251903E+003, 3.4279294E+001, 3.9281637E-002, 0.0000000E+000, 1.0886279E+004
 5.9459984E+001, 1.7511617E+003,-4.9037298E+002, 1.3004807E+000,-2.6669824E+002,-1.1278908E-001, 4.0061422E+002, 0.0000000E+000, 1.3910654E+003, 1.3958924E+003, 3.4279294E+001, 3.9483286E-002, 0.0000000E+000, 1.0993416E+004
 5.9714035E+001, 1.8449097E+003,-5.4540594E+002, 1.2899061E+000,-2.6823079E+002,-1.1175376E-001, 4.1507664E+002, 0.0000000E+000, 1.4467893E+003, 1.4475278E+003, 3.4279294E+001, 3.9675934E-002, 0.0000000E+000, 1.1077527E+004
