s,C,m,m
Time,"DOOR_TEMP","DOOR_VIS","LAYER_HEIGHT_DOOR"
 2.3489283E+001, 2.1517957E+001, 3.0000000E+001, 3.5000000E+000
 2.3777873E+001, 2.1558539E+001, 3.0000000E+001, 3.5000000E+000
 2.4066463E+001, 2.1593565E+001, 3.0000000E+001, 3.5000000E+000
 2.4355052E+001, 2.1628975E+001, 3.0000000E+001, 3.5000000E+000
 2.4643642E+001, 2.1664844E+001, 3.0000000E+001, 3.5000000E+000
 2.4932232E+001, 2.1705983E+001, 3.0000000E+001, 3.5000000E+000
 2.5220821E+001, 2.1777323E+001, 3.0000000E+001, 3.5000000E+000
 2.5509411E+001, 2.1916942E+001, 3.0000000E+001, 3.5000000E+000
 2.5894197E+001, 2.2209465E+001, 3.0000000E+001, 2.4386132E+000
 2.6182787E+001, 2.2588552E+001, 3.0000000E+001, 2.3448362E+000
 2.6471377E+001, 2.2897434E+001, 3.0000000E+001, 2.2732394E+000
 2.6759967E+001, 2.3142479E+001, 3.0000000E+001, 2.2093114E+000
 2.7014993E+001, 2.3299092E+001, 3.0000000E+001, 2.1570889E+000
 2.7355028E+001, 2.3394356E+001, 3.0000000E+001, 2.1044564E+000
 2.7610054E+001, 2.3427210E+001, 3.0000000E+001, 2.0556318E+000
 2.7950089E+001, 2.3415475E+001, 3.0000000E+001, 2.0009292E+000
 2.8205115E+001, 2.3380763E+001, 3.0000000E+001, 1.9335822E+000
 2.8545150E+001, 2.3337173E+001, 3.0000000E+001, 1.8416232E+000
 2.8800176E+001, 2.3301360E+001, 3.0000000E+001, 1.7188608E+000
 2.9140211E+001, 2.3281795E+001, 3.0000000E+001, 1.5685242E+000
 2.9480246E+001, 2.3283843E+001, 3.0000000E+001, 1.3858715E+000
 2.9735272E+001, 2.3301650E+001, 3.0000000E+001, 1.2401155E+000
 3.0092309E+001, 2.3341177E+001, 3.0000000E+001, 1.1060663E+000
 3.0372838E+001, 2.3420075E+001, 3.0000000E+001, 9.9284818E-001
 3.0653367E+001, 2.3491418E+001, 3.0000000E+001, 9.2007365E-001
 3.0901644E+001, 2.3554024E+001, 3.0000000E+001, 8.6460713E-001
 3.1232680E+001, 2.3622527E+001, 3.0000000E+001, 8.0974690E-001
 3.1580268E+001, 2.3689176E+001, 3.0000000E+001, 7.5356806E-001
 3.1853373E+001, 2.3733515E+001, 3.0000000E+001, 7.1569766E-001
 3.2126478E+001, 2.3762395E+001, 3.0000000E+001, 6.9840573E-001
 3.2490617E+001, 2.3791143E+001, 3.0000000E+001, 7.0704080E-001
 3.2730283E+001, 2.3840241E+001, 3.0000000E+001, 7.3129989E-001
 3.3049836E+001, 2.3922396E+001, 3.0000000E+001, 7.4567367E-001
 3.3369390E+001, 2.4080167E+001, 3.0000000E+001, 7.5053888E-001
 3.3633022E+001, 2.4315911E+001, 3.0000000E+001, 7.6006069E-001
 3.3984531E+001, 2.4662808E+001, 3.0000000E+001, 7.9701925E-001
 3.4248163E+001, 2.5056791E+001, 3.0000000E+001, 8.5685370E-001
 3.4560334E+001, 2.5426368E+001, 3.0000000E+001, 9.1712157E-001
 3.4802266E+001, 2.5758285E+001, 3.0000000E+001, 9.8252586E-001
 3.5145654E+001, 2.6042151E+001, 3.0000000E+001, 1.0557724E+000
 3.5460164E+001, 2.6276665E+001, 3.0000000E+001, 1.1232496E+000
 3.5733220E+001, 2.6418764E+001, 3.0000000E+001, 1.1496504E+000
 3.6006275E+001, 2.6511876E+001, 3.0000000E+001, 1.1394220E+000
 3.6347595E+001, 2.6586610E+001, 3.0000000E+001, 1.1151889E+000
 3.6620651E+001, 2.6687833E+001, 3.0000000E+001, 1.0862839E+000
 3.6961971E+001, 2.6905582E+001, 3.0000000E+001, 1.0611463E+000
 3.7241853E+001, 2.7269092E+001, 3.0000000E+001, 1.0673999E+000
 3.7542214E+001, 2.7751631E+001, 3.0000000E+001, 1.1180660E+000
 3.7842576E+001, 2.8299497E+001, 3.0000000E+001, 1.1149679E+000
 3.8142937E+001, 2.8737792E+001, 3.0000000E+001, 1.0554271E+000
 3.8443299E+001, 2.9021702E+001, 3.0000000E+001, 9.7697022E-001
 3.8743660E+001, 2.9198870E+001, 3.0000000E+001, 9.1040577E-001
 3.9044022E+001, 2.9311971E+001, 3.0000000E+001, 8.7724562E-001
 3.9344383E+001, 2.9402137E+001, 3.0000000E+001, 8.8074904E-001
 3.9644744E+001, 2.9511751E+001, 3.0000000E+001, 9.2549111E-001
 3.9945106E+001, 2.9649674E+001, 3.0000000E+001, 9.9216083E-001
 4.0245467E+001, 2.9857070E+001, 3.0000000E+001, 1.0637534E+000
 4.0545829E+001, 3.0226290E+001, 3.0000000E+001, 1.1294817E+000
 4.0846190E+001, 3.0804102E+001, 3.0000000E+001, 1.1737676E+000
 4.1146552E+001, 3.1605806E+001, 3.0000000E+001, 1.1983530E+000
 4.1446913E+001, 3.2423623E+001, 3.0000000E+001, 1.2062279E+000
 4.1747274E+001, 3.3066930E+001, 3.0000000E+001, 1.2141474E+000
 4.2047636E+001, 3.3529602E+001, 3.0000000E+001, 1.2289746E+000
 4.2337910E+001, 3.3819189E+001, 3.0000000E+001, 1.2617334E+000
 4.2610923E+001, 3.3960407E+001, 3.0000000E+001, 1.2923199E+000
 4.2968441E+001, 3.4018408E+001, 3.0000000E+001, 1.2948060E+000
 4.3261605E+001, 3.4029685E+001, 3.0000000E+001, 1.2738059E+000
 4.3513297E+001, 3.4064166E+001, 3.0000000E+001, 1.2488471E+000
 4.3833957E+001, 3.4190127E+001, 3.0000000E+001, 1.2131924E+000
 4.4129198E+001, 3.4432020E+001, 3.0000000E+001, 1.1655706E+000
 4.4404567E+001, 3.4713956E+001, 3.0000000E+001, 1.1192657E+000
 4.4730324E+001, 3.4998860E+001, 3.0000000E+001, 1.0702377E+000
 4.5011369E+001, 3.5245872E+001, 3.0000000E+001, 1.0442161E+000
 4.5362675E+001, 3.5528493E+001, 3.0000000E+001, 1.0555951E+000
 4.5664799E+001, 3.5958815E+001, 3.0000000E+001, 1.0828111E+000
 4.5973949E+001, 3.6469369E+001, 3.0000000E+001, 1.0867504E+000
 4.6205811E+001, 3.6913808E+001, 3.0000000E+001, 1.0559627E+000
 4.6514961E+001, 3.7299997E+001, 3.0000000E+001, 1.0086988E+000
 4.6824111E+001, 3.7612763E+001, 3.0000000E+001, 9.6572740E-001
 4.7133260E+001, 3.7755960E+001, 3.0000000E+001, 9.1999563E-001
 4.7442410E+001, 3.7832775E+001, 3.0000000E+001, 8.6963823E-001
 4.7741957E+001, 3.7927909E+001, 3.0000000E+001, 8.4146031E-001
 4.8058823E+001, 3.8024947E+001, 3.0000000E+001, 8.3278530E-001
 4.8318970E+001, 3.8051703E+001, 3.0000000E+001, 8.3126006E-001
 4.8658371E+001, 3.8048975E+001, 3.0000000E+001, 8.2075074E-001
 4.8951188E+001, 3.8050733E+001, 3.0000000E+001, 8.1155288E-001
 4.9244005E+001, 3.8010982E+001, 3.0000000E+001, 8.2520354E-001
 4.9536821E+001, 3.7895695E+001, 3.0000000E+001, 8.6391539E-001
 4.9829638E+001, 3.7682443E+001, 3.0000000E+001, 9.2979779E-001
 5.0122455E+001, 3.7437039E+001, 3.0000000E+001, 1.0041874E+000
 5.0415271E+001, 3.7291476E+001, 3.0000000E+001, 1.0554079E+000
 5.0708088E+001, 3.7312431E+001, 3.0000000E+001, 1.0781752E+000
 5.1000905E+001, 3.7503839E+001, 3.0000000E+001, 1.0746520E+000
 5.1366926E+001, 3.7847509E+001, 3.0000000E+001, 1.0465890E+000
 5.1659742E+001, 3.8204459E+001, 3.0000000E+001, 1.0070666E+000
 5.1918612E+001, 3.8619291E+001, 3.0000000E+001, 9.7840548E-001
 5.2242199E+001, 3.9183766E+001, 3.0000000E+001, 9.5779325E-001
 5.2501069E+001, 3.9850364E+001, 3.0000000E+001, 9.4653439E-001
 5.2831128E+001, 4.0642628E+001, 2.9343852E+001, 9.3666386E-001
 5.3115885E+001, 4.1491052E+001, 2.7841775E+001, 9.3951176E-001
 5.3400641E+001, 4.2269792E+001, 2.6647988E+001, 9.5660573E-001
 5.3756587E+001, 4.3077226E+001, 2.5516351E+001, 9.6503997E-001
 5.4054517E+001, 4.3854000E+001, 2.4483472E+001, 9.5260154E-001
 5.4335013E+001, 4.4637576E+001, 2.3471017E+001, 9.2566815E-001
 5.4615510E+001, 4.5506127E+001, 2.2412439E+001, 9.0463280E-001
 5.4966131E+001, 4.7101731E+001, 2.0839583E+001, 9.0009235E-001
 5.5246627E+001, 4.9185795E+001, 1.9080225E+001, 9.2148442E-001
 5.5509191E+001, 5.0535742E+001, 1.8036899E+001, 9.4498104E-001
 5.5814980E+001, 5.1328395E+001, 1.7447177E+001, 9.6997973E-001
 5.6120769E+001, 5.1778783E+001, 1.7118518E+001, 1.0044983E+000
 5.6432674E+001, 5.2069007E+001, 1.6959401E+001, 1.0348199E+000
 5.6701768E+001, 5.2259207E+001, 1.6883263E+001, 1.0421330E+000
 5.7038136E+001, 5.2366588E+001, 1.6870698E+001, 1.0277618E+000
 5.7307231E+001, 5.2481854E+001, 1.6894253E+001, 1.0150631E+000
 5.7643599E+001, 5.2478542E+001, 1.6960405E+001, 1.0120368E+000
 5.7912693E+001, 5.2343893E+001, 1.7053680E+001, 1.0120717E+000
 5.8249061E+001, 5.2041691E+001, 1.7223483E+001, 1.0057521E+000
